[dwarf-cov] surface=block seconds=28800 corpus=/opt/corpora/block
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 200 seeds.
    len = 827, map size = 1671, exec speed = 13399 us, hash = 43cc2d9326032bfc
    len = 860, map size = 1678, exec speed = 12574 us, hash = 6355540d7ac28c22
    len = 860, map size = 1678, exec speed = 11208 us, hash = 57a05fc3263740b6
    len = 860, map size = 1678, exec speed = 12465 us, hash = 4f27f491d0124be6
    len = 860, map size = 1678, exec speed = 12095 us, hash = 264cc8a088066706
    len = 860, map size = 1678, exec speed = 12444 us, hash = f4ffd1ec60e197c1
    len = 860, map size = 1678, exec speed = 12083 us, hash = 10ace820628a838a
    len = 860, map size = 1674, exec speed = 11260 us, hash = b094cfaf17863d69
    len = 860, map size = 1678, exec speed = 12426 us, hash = 683a30a569dc5c79
    len = 861, map size = 1678, exec speed = 12827 us, hash = 4b3af908b44bd239
    len = 861, map size = 1678, exec speed = 12391 us, hash = 86b21488d2f74022
    len = 861, map size = 1674, exec speed = 12608 us, hash = cd990e160df90a84
    len = 861, map size = 1678, exec speed = 12304 us, hash = 74b150e621e80682
    len = 861, map size = 1678, exec speed = 12386 us, hash = 93f627a189dc2299
[*] Fuzzing test case #529 (581 total, 0 crashes saved, state: in progress, mode=explore, perf_score=25, weight=1, favorite=1, was_fuzzed=0, exec_us=11844, hits=0, map=129, ascii=0, run_time=0:00:33:22, cvg=0.19%) FS (t=0:00:03:20 (10.02%), st=16575, avg=2006 ms, found=100/100)...
[*] Fuzzing test case #458 (658 total, 0 crashes saved, state: in progress, mode=explore, perf_score=50, weight=1, favorite=1, was_fuzzed=1, exec_us=11857, hits=0, map=376, ascii=0, run_time=0:00:46:50, cvg=0.21%) FS (t=0:00:04:42 (10.04%), st=23372, avg=1454 ms, found=183/194)...
[*] Fuzzing test case #589 (699 total, 0 crashes saved, state: in progress, mode=explore, perf_score=200, weight=1, favorite=1, was_fuzzed=1, exec_us=11888, hits=0, map=843, ascii=0, run_time=0:00:55:33, cvg=0.22%) FS (t=0:00:05:35 (10.05%), st=27791, avg=1340 ms, found=209/250)...
[*] Fuzzing test case #546 (712 total, 0 crashes saved, state: in progress, mode=explore, perf_score=25, weight=0, favorite=1, was_fuzzed=1, exec_us=12017, hits=0, map=129, ascii=0, run_time=0:01:02:24, cvg=0.22%) FS (t=0:00:06:15 (10.02%), st=31113, avg=1384 ms, found=228/271)...
[*] Fuzzing test case #479 (729 total, 0 crashes saved, state: in progress, mode=explore, perf_score=25, weight=1, favorite=1, was_fuzzed=1, exec_us=11883, hits=0, map=180, ascii=0, run_time=0:01:10:27, cvg=0.23%) FS (t=0:00:07:03 (10.02%), st=35127, avg=1402 ms, found=251/302)...
[*] Fuzzing test case #719 (736 total, 0 crashes saved, state: in progress, mode=explore, perf_score=150, weight=1, favorite=1, was_fuzzed=1, exec_us=12049, hits=0, map=560, ascii=0, run_time=0:01:16:46, cvg=0.23%) FS (t=0:00:07:41 (10.03%), st=38314, avg=1408 ms, found=270/328)...
[*] Fuzzing test case #304 (747 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=11892, hits=0, map=785, ascii=0, run_time=0:01:22:58, cvg=0.24%) FS (t=0:00:08:18 (10.01%), st=41339, avg=1423 ms, found=289/350)...
[*] Fuzzing test case #651 (764 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=11977, hits=0, map=843, ascii=0, run_time=0:01:29:41, cvg=0.25%) FS (t=0:00:08:58 (10.01%), st=44692, avg=1432 ms, found=309/376)...
[*] Fuzzing test case #605 (798 total, 0 crashes saved, state: in progress, mode=explore, perf_score=50, weight=0, favorite=1, was_fuzzed=1, exec_us=11903, hits=0, map=202, ascii=0, run_time=0:01:39:30, cvg=0.25%) FS (t=0:00:09:57 (10.00%), st=49562, avg=1449 ms, found=339/412)...
[*] Fuzzing test case #616 (831 total, 0 crashes saved, state: in progress, mode=explore, perf_score=50, weight=0, favorite=1, was_fuzzed=1, exec_us=12120, hits=0, map=209, ascii=0, run_time=0:01:53:03, cvg=0.26%) FS (t=0:00:11:18 (10.00%), st=56074, avg=1437 ms, found=380/472)...
[*] Fuzzing test case #270 (838 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=12135, hits=0, map=1185, ascii=0, run_time=0:02:00:02, cvg=0.26%) FS (t=0:00:12:00 (10.01%), st=59591, avg=1458 ms, found=401/494)...
[*] Fuzzing test case #775 (847 total, 0 crashes saved, state: in progress, mode=explore, perf_score=200, weight=1, favorite=1, was_fuzzed=1, exec_us=12259, hits=0, map=686, ascii=0, run_time=0:02:06:56, cvg=0.26%) FS (t=0:00:12:41 (10.00%), st=62994, avg=1458 ms, found=425/522)...
[*] Fuzzing test case #252 (875 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=12011, hits=0, map=853, ascii=0, run_time=0:02:15:36, cvg=0.26%) FS (t=0:00:13:34 (10.01%), st=67413, avg=1431 ms, found=467/569)...
[*] Fuzzing test case #259 (886 total, 0 crashes saved, state: in progress, mode=explore, perf_score=150, weight=1, favorite=1, was_fuzzed=1, exec_us=12257, hits=0, map=1671, ascii=0, run_time=0:02:23:21, cvg=0.27%) FS (t=0:00:14:19 (10.00%), st=71156, avg=1433 ms, found=495/600)...
[*] Fuzzing test case #373 (896 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=12279, hits=0, map=843, ascii=0, run_time=0:02:30:45, cvg=0.27%) FS (t=0:00:15:00 (9.96%), st=74546, avg=1434 ms, found=520/628)...
[*] Fuzzing test case #779 (911 total, 0 crashes saved, state: in progress, mode=explore, perf_score=200, weight=1, favorite=1, was_fuzzed=1, exec_us=12178, hits=0, map=686, ascii=0, run_time=0:02:39:30, cvg=0.27%) FS (t=0:00:15:35 (9.78%), st=77470, avg=1439 ms, found=542/650)...
[*] Fuzzing test case #537 (920 total, 0 crashes saved, state: in progress, mode=explore, perf_score=25, weight=0, favorite=1, was_fuzzed=1, exec_us=11978, hits=0, map=129, ascii=0, run_time=0:02:45:52, cvg=0.27%) FS (t=0:00:15:52 (9.57%), st=78869, avg=1438 ms, found=554/662)...
[*] Fuzzing test case #861 (929 total, 0 crashes saved, state: in progress, mode=explore, perf_score=150, weight=0, favorite=1, was_fuzzed=1, exec_us=12074, hits=0, map=548, ascii=0, run_time=0:02:54:11, cvg=0.28%) FS (t=0:00:16:18 (9.37%), st=81062, avg=1443 ms, found=569/678)...
[*] Fuzzing test case #537 (942 total, 0 crashes saved, state: in progress, mode=explore, perf_score=25, weight=0, favorite=1, was_fuzzed=1, exec_us=11978, hits=0, map=129, ascii=0, run_time=0:03:02:26, cvg=0.28%) FS (t=0:00:16:43 (9.17%), st=83083, avg=1449 ms, found=583/692)...
[*] Fuzzing test case #628 (953 total, 0 crashes saved, state: in progress, mode=explore, perf_score=75, weight=0, favorite=1, was_fuzzed=1, exec_us=11962, hits=0, map=208, ascii=0, run_time=0:03:10:34, cvg=0.29%) FS (t=0:00:17:11 (9.02%), st=85453, avg=1457 ms, found=599/708)...
[*] Fuzzing test case #896 (959 total, 0 crashes saved, state: in progress, mode=explore, perf_score=300, weight=1, favorite=1, was_fuzzed=1, exec_us=12055, hits=0, map=1276, ascii=0, run_time=0:03:17:54, cvg=0.29%) FS (t=0:00:17:26 (8.81%), st=86658, avg=1459 ms, found=608/717)...
[*] Fuzzing test case #306 (964 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12366, hits=0, map=876, ascii=0, run_time=0:03:24:36, cvg=0.29%) FS (t=0:00:17:38 (8.62%), st=87669, avg=1461 ms, found=615/724)...
[*] Fuzzing test case #2051 (2448 total, 0 crashes saved, state: in progress, mode=explore, perf_score=300, weight=2, favorite=1, was_fuzzed=0, exec_us=12151, hits=0, map=1449, ascii=0, run_time=0:05:18:36, cvg=0.36%) FS (t=0:00:25:03 (7.87%), st=124675, avg=1587 ms, found=838/947)...
