[dwarf-cov] surface=keepalive seconds=28800 corpus=/opt/corpora/keepalive
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 4 seeds.
    len = 2, map size = 183, exec speed = 12789 us, hash = ab54d88dc6a919bb
    len = 5, map size = 183, exec speed = 12239 us, hash = 3c258ed9f4351ee2
    len = 5, map size = 210, exec speed = 12357 us, hash = 379f6e009a5a38dd
    len = 5, map size = 210, exec speed = 12391 us, hash = 379f6e009a5a38dd
[+] All set and ready to roll!
[*] Fuzzing test case #0 (4 total, 0 crashes saved, state: started :-), mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=0, exec_us=12789, hits=0, map=183, ascii=0, run_time=0:00:00:00, cvg=0.01%) FS (t=0:00:00:00 (0.00%), st=0, avg=0 ms, found=0/0)...
[*] Fuzzing test case #1 (124 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=0, exec_us=12239, hits=0, map=183, ascii=0, run_time=0:00:05:17, cvg=0.04%) FS (t=0:00:00:00 (0.04%), st=2, avg=114 ms, found=0/1)...
[*] Fuzzing test case #2 (124 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=0, exec_us=12357, hits=0, map=210, ascii=0, run_time=0:00:05:18, cvg=0.04%) FS (t=0:00:00:00 (0.04%), st=4, avg=69 ms, found=0/2)...
[*] Fuzzing test case #4 (155 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=0, exec_us=12067, hits=0, map=167, ascii=0, run_time=0:00:06:37, cvg=0.05%) FS (t=0:00:00:00 (0.05%), st=8, avg=62 ms, found=0/3)...
[*] Fuzzing test case #105 (155 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=2, favorite=1, was_fuzzed=0, exec_us=11999, hits=0, map=182, ascii=0, run_time=0:00:06:37, cvg=0.05%) FS (t=0:00:00:00 (0.05%), st=10, avg=53 ms, found=0/4)...
[*] Fuzzing test case #7 (155 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=0, exec_us=12410, hits=0, map=183, ascii=0, run_time=0:00:06:38, cvg=0.05%) FS (t=0:00:00:00 (0.06%), st=13, avg=49 ms, found=0/5)...
[*] Fuzzing test case #153 (155 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=2, favorite=1, was_fuzzed=0, exec_us=11964, hits=0, map=204, ascii=0, run_time=0:00:06:39, cvg=0.05%) FS (t=0:00:00:00 (0.07%), st=15, avg=45 ms, found=0/6)...
[*] Fuzzing test case #8 (155 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=2, favorite=1, was_fuzzed=0, exec_us=12119, hits=0, map=183, ascii=0, run_time=0:00:06:40, cvg=0.05%) FS (t=0:00:00:00 (0.08%), st=19, avg=45 ms, found=0/7)...
[*] Fuzzing test case #98 (155 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=2, favorite=1, was_fuzzed=0, exec_us=12041, hits=0, map=162, ascii=0, run_time=0:00:06:40, cvg=0.05%) FS (t=0:00:00:00 (0.09%), st=21, avg=43 ms, found=0/8)...
[*] Fuzzing test case #73 (169 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=11980, hits=0, map=174, ascii=0, run_time=0:00:13:02, cvg=0.05%) FS (t=0:00:00:07 (0.97%), st=618, avg=47 ms, found=0/160)...
[*] Fuzzing test case #123 (171 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=12073, hits=0, map=204, ascii=0, run_time=0:00:18:28, cvg=0.05%) FS (t=0:00:00:09 (0.88%), st=802, avg=60 ms, found=0/163)...
