[dwarf-cov] surface=ledger seconds=28800 corpus=/opt/corpora/txbody
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 12 seeds.
    len = 160, map size = 1633, exec speed = 13156 us, hash = df6677fd4d02c428
    len = 160, map size = 1633, exec speed = 12353 us, hash = df6677fd4d02c428
    len = 154, map size = 1386, exec speed = 12469 us, hash = 6741c5c61fedba38
    len = 160, map size = 1633, exec speed = 12187 us, hash = df6677fd4d02c428
    len = 160, map size = 1633, exec speed = 12497 us, hash = df6677fd4d02c428
    len = 154, map size = 1386, exec speed = 12408 us, hash = 6741c5c61fedba38
    len = 154, map size = 1386, exec speed = 12378 us, hash = 6741c5c61fedba38
    len = 154, map size = 1386, exec speed = 12222 us, hash = 6741c5c61fedba38
    len = 154, map size = 1386, exec speed = 12839 us, hash = 6741c5c61fedba38
    len = 154, map size = 1386, exec speed = 12766 us, hash = 6741c5c61fedba38
    len = 160, map size = 1633, exec speed = 12845 us, hash = df6677fd4d02c428
    len = 160, map size = 1633, exec speed = 12475 us, hash = df6677fd4d02c428
[+] All set and ready to roll!
[*] Fuzzing test case #2 (12 total, 0 crashes saved, state: started :-), mode=explore, perf_score=100, weight=2, favorite=0, was_fuzzed=0, exec_us=12469, hits=0, map=1386, ascii=0, run_time=0:00:00:00, cvg=0.08%) FS (t=0:00:00:00 (0.00%), st=0, avg=0 ms, found=0/0)...
[*] Fuzzing test case #650 (700 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=0, exec_us=12202, hits=0, map=209, ascii=0, run_time=0:00:48:42, cvg=0.24%) FS (t=0:00:04:25 (9.07%), st=22065, avg=564 ms, found=223/470)...
[*] Fuzzing test case #526 (745 total, 0 crashes saved, state: in progress, mode=explore, perf_score=200, weight=0, favorite=1, was_fuzzed=1, exec_us=12335, hits=0, map=567, ascii=0, run_time=0:00:59:16, cvg=0.25%) FS (t=0:00:05:36 (9.46%), st=28026, avg=575 ms, found=271/584)...
[*] Fuzzing test case #792 (1026 total, 0 crashes saved, state: in progress, mode=explore, perf_score=300, weight=1, favorite=1, was_fuzzed=1, exec_us=11983, hits=0, map=817, ascii=0, run_time=0:01:46:44, cvg=0.26%) FS (t=0:00:09:42 (9.09%), st=48624, avg=699 ms, found=426/832)...
[*] Fuzzing test case #140 (1088 total, 0 crashes saved, state: in progress, mode=explore, perf_score=75, weight=1, favorite=1, was_fuzzed=1, exec_us=12090, hits=0, map=300, ascii=0, run_time=0:02:05:19, cvg=0.26%) FS (t=0:00:11:14 (8.97%), st=56384, avg=726 ms, found=487/929)...
[*] Fuzzing test case #295 (1106 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=11992, hits=0, map=376, ascii=0, run_time=0:02:18:29, cvg=0.27%) FS (t=0:00:11:47 (8.52%), st=59183, avg=726 ms, found=505/975)...
[*] Fuzzing test case #587 (1126 total, 0 crashes saved, state: in progress, mode=explore, perf_score=200, weight=1, favorite=1, was_fuzzed=1, exec_us=12042, hits=0, map=453, ascii=0, run_time=0:02:32:03, cvg=0.27%) FS (t=0:00:12:12 (8.02%), st=61204, avg=724 ms, found=521/1011)...
[*] Fuzzing test case #1136 (1148 total, 0 crashes saved, state: in progress, mode=explore, perf_score=300, weight=1, favorite=1, was_fuzzed=1, exec_us=11920, hits=0, map=518, ascii=0, run_time=0:02:45:49, cvg=0.27%) FS (t=0:00:12:49 (7.74%), st=64356, avg=739 ms, found=543/1041)...
[*] Fuzzing test case #267 (1174 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=11924, hits=0, map=569, ascii=0, run_time=0:03:00:11, cvg=0.27%) FS (t=0:00:13:12 (7.33%), st=66311, avg=741 ms, found=557/1069)...
[*] Fuzzing test case #479 (1198 total, 0 crashes saved, state: in progress, mode=explore, perf_score=200, weight=0, favorite=1, was_fuzzed=1, exec_us=12215, hits=0, map=387, ascii=0, run_time=0:03:16:31, cvg=0.27%) FS (t=0:00:13:53 (7.07%), st=69748, avg=758 ms, found=578/1099)...
[*] Fuzzing test case #331 (1209 total, 0 crashes saved, state: in progress, mode=explore, perf_score=150, weight=1, favorite=1, was_fuzzed=1, exec_us=11797, hits=0, map=751, ascii=0, run_time=0:03:30:01, cvg=0.28%) FS (t=0:00:14:09 (6.74%), st=71023, avg=761 ms, found=588/1115)...
[*] Fuzzing test case #620 (1252 total, 0 crashes saved, state: in progress, mode=explore, perf_score=200, weight=1, favorite=1, was_fuzzed=1, exec_us=11925, hits=0, map=453, ascii=0, run_time=0:03:50:20, cvg=0.28%) FS (t=0:00:15:22 (6.67%), st=77145, avg=794 ms, found=626/1161)...
[*] Fuzzing test case #133 (1269 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=1, exec_us=11939, hits=0, map=394, ascii=0, run_time=0:04:04:49, cvg=0.28%) FS (t=0:00:15:38 (6.39%), st=78517, avg=795 ms, found=638/1180)...
[*] Fuzzing test case #673 (1276 total, 0 crashes saved, state: in progress, mode=explore, perf_score=150, weight=1, favorite=1, was_fuzzed=1, exec_us=11918, hits=0, map=343, ascii=0, run_time=0:04:18:44, cvg=0.28%) FS (t=0:00:15:54 (6.15%), st=79899, avg=799 ms, found=647/1194)...
[*] Fuzzing test case #896 (1289 total, 0 crashes saved, state: in progress, mode=explore, perf_score=300, weight=0, favorite=1, was_fuzzed=1, exec_us=12133, hits=0, map=493, ascii=0, run_time=0:04:39:19, cvg=0.29%) FS (t=0:00:16:21 (5.86%), st=82117, avg=806 ms, found=663/1217)...
[*] Fuzzing test case #1037 (1414 total, 0 crashes saved, state: in progress, mode=explore, perf_score=300, weight=1, favorite=1, was_fuzzed=1, exec_us=11967, hits=0, map=529, ascii=0, run_time=0:05:15:17, cvg=0.31%) FS (t=0:00:20:15 (6.42%), st=101687, avg=906 ms, found=779/1340)...
[*] Fuzzing test case #800 (1421 total, 0 crashes saved, state: in progress, mode=explore, perf_score=300, weight=0, favorite=1, was_fuzzed=1, exec_us=12163, hits=0, map=795, ascii=0, run_time=0:05:30:15, cvg=0.31%) FS (t=0:00:20:29 (6.20%), st=102862, avg=909 ms, found=787/1352)...
[*] Fuzzing test case #1077 (1433 total, 0 crashes saved, state: in progress, mode=explore, perf_score=400, weight=1, favorite=1, was_fuzzed=1, exec_us=11974, hits=0, map=623, ascii=0, run_time=0:05:46:59, cvg=0.31%) FS (t=0:00:20:54 (6.03%), st=104964, avg=917 ms, found=800/1368)...
[*] Fuzzing test case #1194 (1436 total, 0 crashes saved, state: in progress, mode=explore, perf_score=150, weight=1, favorite=1, was_fuzzed=1, exec_us=11988, hits=0, map=952, ascii=0, run_time=0:06:02:03, cvg=0.31%) FS (t=0:00:21:02 (5.81%), st=105587, avg=918 ms, found=803/1374)...
[*] Fuzzing test case #211 (1442 total, 0 crashes saved, state: in progress, mode=explore, perf_score=75, weight=0, favorite=1, was_fuzzed=1, exec_us=12158, hits=0, map=300, ascii=0, run_time=0:06:16:53, cvg=0.31%) FS (t=0:00:21:09 (5.61%), st=106185, avg=917 ms, found=807/1384)...
[*] Fuzzing test case #879 (1443 total, 0 crashes saved, state: in progress, mode=explore, perf_score=300, weight=0, favorite=1, was_fuzzed=1, exec_us=12206, hits=0, map=526, ascii=0, run_time=0:06:31:12, cvg=0.31%) FS (t=0:00:21:09 (5.41%), st=106191, avg=916 ms, found=807/1385)...
[*] Fuzzing test case #1380 (1454 total, 0 crashes saved, state: in progress, mode=explore, perf_score=400, weight=1, favorite=1, was_fuzzed=1, exec_us=12028, hits=0, map=488, ascii=0, run_time=0:06:46:21, cvg=0.31%) FS (t=0:00:21:21 (5.26%), st=107205, avg=916 ms, found=813/1399)...
[*] Fuzzing test case #1011 (1457 total, 0 crashes saved, state: in progress, mode=explore, perf_score=600, weight=1, favorite=1, was_fuzzed=1, exec_us=12109, hits=0, map=785, ascii=0, run_time=0:07:00:28, cvg=0.31%) FS (t=0:00:21:25 (5.10%), st=107554, avg=916 ms, found=816/1403)...
[*] Fuzzing test case #1097 (1464 total, 0 crashes saved, state: in progress, mode=explore, perf_score=300, weight=1, favorite=1, was_fuzzed=1, exec_us=12055, hits=0, map=510, ascii=0, run_time=0:07:15:37, cvg=0.31%) FS (t=0:00:21:32 (4.95%), st=108147, avg=917 ms, found=820/1409)...
[*] Fuzzing test case #485 (1469 total, 0 crashes saved, state: in progress, mode=explore, perf_score=200, weight=1, favorite=1, was_fuzzed=1, exec_us=10848, hits=0, map=543, ascii=0, run_time=0:07:30:47, cvg=0.31%) FS (t=0:00:21:40 (4.81%), st=108775, avg=917 ms, found=824/1417)...
[*] Fuzzing test case #715 (1499 total, 0 crashes saved, state: in progress, mode=explore, perf_score=200, weight=1, favorite=1, was_fuzzed=1, exec_us=12000, hits=0, map=461, ascii=0, run_time=0:07:51:19, cvg=0.31%) FS (t=0:00:22:08 (4.70%), st=111072, avg=926 ms, found=828/1433)...
