[dwarf-cov] surface=txsub seconds=28800 corpus=/opt/corpora/txsub
[*] Spinning up the fork server...
[+] All right - new fork server model v1 is up.
[*] Target map size: 2072214
    To avoid having crashes misinterpreted as timeouts, please 
[+] Loaded a total of 4 seeds.
    len = 2, map size = 191, exec speed = 11478 us, hash = 53d086b56b16cb97
    len = 7, map size = 225, exec speed = 12384 us, hash = ac7ad1589136e34c
    len = 7, map size = 225, exec speed = 12507 us, hash = 81b6402e7d8c7e72
    len = 3, map size = 193, exec speed = 12335 us, hash = 6a95eb4d287dfaf0
[+] All set and ready to roll!
[*] Fuzzing test case #0 (4 total, 0 crashes saved, state: started :-), mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=0, exec_us=11478, hits=0, map=191, ascii=0, run_time=0:00:00:00, cvg=0.01%) FS (t=0:00:00:00 (0.00%), st=0, avg=0 ms, found=0/0)...
[*] Fuzzing test case #1 (129 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=0, exec_us=12384, hits=0, map=225, ascii=0, run_time=0:00:05:17, cvg=0.04%) FS (t=0:00:00:00 (0.04%), st=2, avg=113 ms, found=0/1)...
[*] Fuzzing test case #3 (170 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=0, exec_us=12335, hits=0, map=193, ascii=0, run_time=0:00:06:37, cvg=0.05%) FS (t=0:00:00:00 (0.04%), st=6, avg=81 ms, found=0/2)...
[*] Fuzzing test case #158 (170 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=0, exec_us=12114, hits=0, map=205, ascii=0, run_time=0:00:06:38, cvg=0.05%) FS (t=0:00:00:00 (0.05%), st=10, avg=70 ms, found=0/3)...
[*] Fuzzing test case #4 (183 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=1, favorite=1, was_fuzzed=0, exec_us=11955, hits=0, map=173, ascii=0, run_time=0:00:07:56, cvg=0.05%) FS (t=0:00:00:00 (0.06%), st=17, avg=73 ms, found=0/4)...
[*] Fuzzing test case #65 (183 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=2, favorite=1, was_fuzzed=0, exec_us=11819, hits=0, map=179, ascii=0, run_time=0:00:07:56, cvg=0.05%) FS (t=0:00:00:00 (0.07%), st=19, avg=64 ms, found=0/5)...
[*] Fuzzing test case #154 (183 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=2, favorite=1, was_fuzzed=0, exec_us=12105, hits=0, map=229, ascii=0, run_time=0:00:07:57, cvg=0.05%) FS (t=0:00:00:00 (0.07%), st=21, avg=57 ms, found=0/6)...
[*] Fuzzing test case #17 (183 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=2, favorite=1, was_fuzzed=0, exec_us=11965, hits=0, map=191, ascii=0, run_time=0:00:07:58, cvg=0.05%) FS (t=0:00:00:00 (0.08%), st=24, avg=55 ms, found=0/7)...
[*] Fuzzing test case #30 (183 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=2, favorite=1, was_fuzzed=0, exec_us=12059, hits=0, map=191, ascii=0, run_time=0:00:07:58, cvg=0.05%) FS (t=0:00:00:00 (0.09%), st=26, avg=51 ms, found=0/8)...
[*] Fuzzing test case #60 (194 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11963, hits=0, map=178, ascii=0, run_time=0:00:13:36, cvg=0.05%) FS (t=0:00:00:10 (1.26%), st=838, avg=59 ms, found=0/172)...
[*] Fuzzing test case #4 (208 total, 0 crashes saved, state: in progress, mode=explore, perf_score=100, weight=0, favorite=1, was_fuzzed=1, exec_us=11955, hits=0, map=173, ascii=0, run_time=0:00:19:18, cvg=0.05%) FS (t=0:00:00:13 (1.21%), st=1149, avg=72 ms, found=0/192)...
