amaru-relay-2-1   | 2026-09-18T09:37:45.358100434Z 2026-09-18T09:37:45.358065Z  INFO amaru::protocols: manager.message.process manager.peer.handshake_completed peer="10.192.42.9:3001" conn_id=0 full_duplex_capable=true full_duplex=true advertisable=true message_type="HandshakeComplete"
amaru-relay-1-1   | 2026-09-18T09:37:45.358858936Z 2026-09-18T09:37:45.358820Z  INFO amaru::protocols: manager.message.process manager.peer.handshake_completed peer="10.192.42.7:3001" conn_id=0 full_duplex_capable=true full_duplex=true advertisable=true message_type="HandshakeComplete"
amaru-relay-2-1   | 2026-09-18T09:37:49.092000842Z 2026-09-18T09:37:49.091981Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=1 child="Handshake"
amaru-relay-2-1   | 2026-09-18T09:37:54.419406068Z 2026-09-18T09:37:54.419319Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=2 child="Handshake"
amaru-relay-2-1   | 2026-09-18T09:38:07.202012865Z 2026-09-18T09:38:07.201962Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=3 child="Handshake"
amaru-relay-1-1   | 2026-09-18T09:37:49.091919556Z 2026-09-18T09:37:49.091889Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=1 child="Handshake"
amaru-relay-1-1   | 2026-09-18T09:37:56.750895960Z 2026-09-18T09:37:56.750802Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=2 child="Handshake"
amaru-relay-2-1   | 2026-09-18T09:38:29.396445670Z 2026-09-18T09:38:29.396387Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=4 child="Handshake"
amaru-relay-1-1   | 2026-09-18T09:38:07.703392911Z 2026-09-18T09:38:07.703348Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=3 child="Handshake"
amaru-relay-1-1   | 2026-09-18T09:38:27.931474122Z 2026-09-18T09:38:27.931385Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=4 child="Handshake"
amaru-relay-2-1   | 2026-09-18T09:39:08.574086642Z 2026-09-18T09:39:08.574049Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=5 child="Handshake"
amaru-relay-1-1   | 2026-09-18T09:39:07.966629893Z 2026-09-18T09:39:07.966550Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=5 child="Handshake"
amaru-relay-2-1   | 2026-09-18T09:40:29.112950794Z 2026-09-18T09:40:29.112879Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=6 child="Handshake"
amaru-relay-1-1   | 2026-09-18T09:40:27.426907260Z 2026-09-18T09:40:27.426776Z  INFO amaru::protocols: connection.child_died peer="10.192.43.4:3001" conn_id=6 child="Handshake"
amaru-relay-2-1   | 2026-09-18T09:42:45.362611075Z 2026-09-18T09:42:45.362496Z  INFO amaru::protocols: manager.message.process manager.peer.handshake_completed peer="10.192.42.4:3001" conn_id=8 full_duplex_capable=true full_duplex=true advertisable=true message_type="HandshakeComplete"
