log-tailer-1      | 2026-09-18T09:37:50.500641895Z {"at":"2026-09-18T09:37:50.092671097Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.3:3000","reason":"HandleFailure (BearerClosed \"<socket: 89> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"90","host":"amaru-consumer"}
log-tailer-1      | 2026-09-18T09:37:50.500659519Z {"at":"2026-09-18T09:37:50.092680846Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.2:3000","reason":"HandleFailure (BearerClosed \"<socket: 88> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"89","host":"amaru-consumer"}
log-tailer-1      | 2026-09-18T09:37:57.492084107Z {"at":"2026-09-18T09:37:55.420798614Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.3:3000","reason":"HandleFailure (BearerClosed \"<socket: 80> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"132","host":"amaru-consumer"}
log-tailer-1      | 2026-09-18T09:37:58.492548265Z {"at":"2026-09-18T09:37:57.752646895Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.2:3000","reason":"HandleFailure (BearerClosed \"<socket: 81> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"135","host":"amaru-consumer"}
log-tailer-1      | 2026-09-18T09:38:09.494659379Z {"at":"2026-09-18T09:38:08.203545016Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.3:3000","reason":"HandleFailure (BearerClosed \"<socket: 80> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"187","host":"amaru-consumer"}
log-tailer-1      | 2026-09-18T09:38:21.498315482Z {"at":"2026-09-18T09:38:08.704494537Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.2:3000","reason":"HandleFailure (BearerClosed \"<socket: 81> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"189","host":"amaru-consumer"}
log-tailer-1      | 2026-09-18T09:38:29.500932116Z {"at":"2026-09-18T09:38:28.933048657Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.2:3000","reason":"HandleFailure (BearerClosed \"<socket: 80> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"221","host":"amaru-consumer"}
log-tailer-1      | 2026-09-18T09:38:37.501717161Z {"at":"2026-09-18T09:38:30.398053042Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.3:3000","reason":"HandleFailure (BearerClosed \"<socket: 80> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"223","host":"amaru-consumer"}
log-tailer-1      | 2026-09-18T09:39:10.505557880Z {"at":"2026-09-18T09:39:08.967552197Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.2:3000","reason":"HandleFailure (BearerClosed \"<socket: 80> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"265","host":"amaru-consumer"}
log-tailer-1      | 2026-09-18T09:39:25.507343918Z {"at":"2026-09-18T09:39:09.575284803Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.3:3000","reason":"HandleFailure (BearerClosed \"<socket: 81> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"267","host":"amaru-consumer"}
log-tailer-1      | 2026-09-18T09:40:29.514938625Z {"at":"2026-09-18T09:40:28.427891654Z","ns":"Net.PeerSelection.Actions.StatusChangeFailure","data":{"kind":"PeerStatusChangeFailure","peerStatusChangeType":"ColdToWarm Nothing 10.192.43.2:3000","reason":"HandleFailure (BearerClosed \"<socket: 80> closed when reading data, waiting on next header True\")"},"sev":"Error","thread":"339","host":"amaru-consumer"}
