_baseline	ACCEPT	124	3.02	not-rejected(3s)
pp.a0.big63	ACCEPT	124	3.02	not-rejected(3s)
pp.a0.big64	REJECT	1	0.02	InstantiationError
pp.a0.bool	REJECT	1	0.02	InstantiationError
pp.a0.emptystr	REJECT	1	0.02	InstantiationError
pp.a0.float	ACCEPT	124	3.02	not-rejected(3s)
pp.a0.half	ACCEPT	124	3.02	not-rejected(3s)
pp.a0.huge	REJECT	1	0.02	InstantiationError
pp.a0.missing	REJECT	1	0.02	InstantiationError
pp.a0.neg1	REJECT	1	0.02	InstantiationError
pp.a0.negf	REJECT	1	0.02	InstantiationError
pp.a0.null	REJECT	1	0.02	InstantiationError
pp.a0.one	ACCEPT	124	3.02	not-rejected(3s)
pp.a0.sci	ACCEPT	124	3.02	not-rejected(3s)
pp.a0.str	REJECT	1	0.02	InstantiationError
pp.a0.tiny	REJECT	1	0.02	InstantiationError
pp.a0.zero	ACCEPT	124	3.02	not-rejected(3s)
pp.decentralisationParam.big63	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.big64	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.bool	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.emptystr	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.float	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.half	ACCEPT	124	3.02	not-rejected(3s)
pp.decentralisationParam.huge	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.missing	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.neg1	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.negf	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.null	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.one	ACCEPT	124	3.02	not-rejected(3s)
pp.decentralisationParam.sci	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.str	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.tiny	REJECT	1	0.02	InstantiationError
pp.decentralisationParam.zero	ACCEPT	124	3.02	not-rejected(3s)
pp.eMax.big63	REJECT	1	0.02	InstantiationError
pp.eMax.big64	REJECT	1	0.02	InstantiationError
pp.eMax.bool	REJECT	1	0.02	InstantiationError
pp.eMax.emptystr	REJECT	1	0.02	InstantiationError
