seed-corpus soak start 2026-06-16T17:15:09Z dur=28800s img=0.16.0 shape=certificate seeds=2 injector=none
17:15:10 iter=1 chain_txs=8 served=0 cert_tagged=0 cert_real=0 relay2_crit=0 relay2_restart=0 adv_restart=0
17:16:10 iter=2 chain_txs=6 served=3 cert_tagged=2 cert_real=2 relay2_crit=0 relay2_restart=0 adv_restart=0
17:17:10 iter=3 chain_txs=6 served=3 cert_tagged=2 cert_real=2 relay2_crit=0 relay2_restart=0 adv_restart=0
17:18:10 iter=4 chain_txs=2 served=6 cert_tagged=4 cert_real=4 relay2_crit=0 relay2_restart=0 adv_restart=0
17:19:11 iter=5 chain_txs=0 served=9 cert_tagged=6 cert_real=6 relay2_crit=0 relay2_restart=0 adv_restart=0
17:20:11 iter=6 chain_txs=0 served=11 cert_tagged=7 cert_real=7 relay2_crit=0 relay2_restart=0 adv_restart=0
17:21:11 iter=7 chain_txs=0 served=13 cert_tagged=8 cert_real=8 relay2_crit=0 relay2_restart=0 adv_restart=0
17:22:12 iter=8 chain_txs=0 served=15 cert_tagged=9 cert_real=9 relay2_crit=0 relay2_restart=0 adv_restart=0
17:23:12 iter=9 chain_txs=0 served=15 cert_tagged=9 cert_real=9 relay2_crit=0 relay2_restart=0 adv_restart=0
17:24:12 iter=10 chain_txs=0 served=17 cert_tagged=10 cert_real=10 relay2_crit=0 relay2_restart=0 adv_restart=0
17:25:12 iter=11 chain_txs=0 served=19 cert_tagged=11 cert_real=11 relay2_crit=0 relay2_restart=0 adv_restart=0
17:26:13 iter=12 chain_txs=0 served=21 cert_tagged=12 cert_real=12 relay2_crit=0 relay2_restart=0 adv_restart=0
17:27:13 iter=13 chain_txs=0 served=23 cert_tagged=13 cert_real=13 relay2_crit=0 relay2_restart=0 adv_restart=0
17:28:13 iter=14 chain_txs=0 served=25 cert_tagged=14 cert_real=14 relay2_crit=0 relay2_restart=0 adv_restart=0
17:29:14 iter=15 chain_txs=0 served=25 cert_tagged=14 cert_real=14 relay2_crit=0 relay2_restart=0 adv_restart=0
17:30:14 iter=16 chain_txs=0 served=27 cert_tagged=15 cert_real=15 relay2_crit=0 relay2_restart=0 adv_restart=0
17:31:14 iter=17 chain_txs=0 served=29 cert_tagged=16 cert_real=16 relay2_crit=0 relay2_restart=0 adv_restart=0
17:32:15 iter=18 chain_txs=0 served=31 cert_tagged=17 cert_real=17 relay2_crit=0 relay2_restart=0 adv_restart=0
17:33:15 iter=19 chain_txs=0 served=33 cert_tagged=18 cert_real=18 relay2_crit=0 relay2_restart=0 adv_restart=0
17:34:15 iter=20 chain_txs=0 served=35 cert_tagged=19 cert_real=19 relay2_crit=0 relay2_restart=0 adv_restart=0
17:35:15 iter=21 chain_txs=0 served=35 cert_tagged=19 cert_real=19 relay2_crit=0 relay2_restart=0 adv_restart=0
17:36:16 iter=22 chain_txs=0 served=37 cert_tagged=20 cert_real=20 relay2_crit=0 relay2_restart=0 adv_restart=0
17:37:16 iter=23 chain_txs=0 served=39 cert_tagged=21 cert_real=21 relay2_crit=0 relay2_restart=0 adv_restart=0
17:38:16 iter=24 chain_txs=0 served=41 cert_tagged=22 cert_real=22 relay2_crit=0 relay2_restart=0 adv_restart=0
17:39:17 iter=25 chain_txs=0 served=43 cert_tagged=23 cert_real=23 relay2_crit=0 relay2_restart=0 adv_restart=0
17:40:17 iter=26 chain_txs=0 served=45 cert_tagged=24 cert_real=24 relay2_crit=0 relay2_restart=0 adv_restart=0
17:41:17 iter=27 chain_txs=0 served=47 cert_tagged=25 cert_real=25 relay2_crit=0 relay2_restart=0 adv_restart=0
17:42:18 iter=28 chain_txs=0 served=47 cert_tagged=25 cert_real=25 relay2_crit=0 relay2_restart=0 adv_restart=0
17:43:18 iter=29 chain_txs=0 served=49 cert_tagged=26 cert_real=26 relay2_crit=0 relay2_restart=0 adv_restart=0
17:44:18 iter=30 chain_txs=0 served=51 cert_tagged=27 cert_real=27 relay2_crit=0 relay2_restart=0 adv_restart=0
17:45:18 iter=31 chain_txs=0 served=53 cert_tagged=28 cert_real=28 relay2_crit=0 relay2_restart=0 adv_restart=0
17:46:19 iter=32 chain_txs=0 served=55 cert_tagged=29 cert_real=29 relay2_crit=0 relay2_restart=0 adv_restart=0
17:47:19 iter=33 chain_txs=0 served=57 cert_tagged=30 cert_real=30 relay2_crit=0 relay2_restart=0 adv_restart=0
17:48:19 iter=34 chain_txs=0 served=57 cert_tagged=30 cert_real=30 relay2_crit=0 relay2_restart=0 adv_restart=0
17:49:20 iter=35 chain_txs=0 served=59 cert_tagged=31 cert_real=31 relay2_crit=0 relay2_restart=0 adv_restart=0
17:50:20 iter=36 chain_txs=0 served=61 cert_tagged=32 cert_real=32 relay2_crit=0 relay2_restart=0 adv_restart=0
17:51:20 iter=37 chain_txs=0 served=63 cert_tagged=33 cert_real=33 relay2_crit=0 relay2_restart=0 adv_restart=0
17:52:21 iter=38 chain_txs=0 served=65 cert_tagged=34 cert_real=34 relay2_crit=0 relay2_restart=0 adv_restart=0
17:53:21 iter=39 chain_txs=0 served=67 cert_tagged=35 cert_real=35 relay2_crit=0 relay2_restart=0 adv_restart=0
17:54:21 iter=40 chain_txs=0 served=67 cert_tagged=35 cert_real=35 relay2_crit=0 relay2_restart=0 adv_restart=0
17:55:21 iter=41 chain_txs=0 served=69 cert_tagged=36 cert_real=36 relay2_crit=0 relay2_restart=0 adv_restart=0
17:56:22 iter=42 chain_txs=0 served=71 cert_tagged=37 cert_real=37 relay2_crit=0 relay2_restart=0 adv_restart=0
17:57:22 iter=43 chain_txs=0 served=73 cert_tagged=38 cert_real=38 relay2_crit=0 relay2_restart=0 adv_restart=0
17:58:22 iter=44 chain_txs=0 served=75 cert_tagged=39 cert_real=39 relay2_crit=0 relay2_restart=0 adv_restart=0
17:59:23 iter=45 chain_txs=0 served=77 cert_tagged=40 cert_real=40 relay2_crit=0 relay2_restart=0 adv_restart=0
18:00:23 iter=46 chain_txs=0 served=77 cert_tagged=40 cert_real=40 relay2_crit=0 relay2_restart=0 adv_restart=0
18:01:23 iter=47 chain_txs=0 served=79 cert_tagged=41 cert_real=41 relay2_crit=0 relay2_restart=0 adv_restart=0
18:02:24 iter=48 chain_txs=0 served=81 cert_tagged=42 cert_real=42 relay2_crit=0 relay2_restart=0 adv_restart=0
18:03:24 iter=49 chain_txs=0 served=83 cert_tagged=43 cert_real=43 relay2_crit=0 relay2_restart=0 adv_restart=0
18:04:24 iter=50 chain_txs=0 served=85 cert_tagged=44 cert_real=44 relay2_crit=0 relay2_restart=0 adv_restart=0
18:05:24 iter=51 chain_txs=0 served=87 cert_tagged=45 cert_real=45 relay2_crit=0 relay2_restart=0 adv_restart=0
18:06:25 iter=52 chain_txs=0 served=89 cert_tagged=46 cert_real=46 relay2_crit=0 relay2_restart=0 adv_restart=0
18:07:25 iter=53 chain_txs=0 served=89 cert_tagged=46 cert_real=46 relay2_crit=0 relay2_restart=0 adv_restart=0
18:08:25 iter=54 chain_txs=0 served=91 cert_tagged=47 cert_real=47 relay2_crit=0 relay2_restart=0 adv_restart=0
18:09:26 iter=55 chain_txs=0 served=93 cert_tagged=48 cert_real=48 relay2_crit=0 relay2_restart=0 adv_restart=0
18:10:26 iter=56 chain_txs=0 served=95 cert_tagged=49 cert_real=49 relay2_crit=0 relay2_restart=0 adv_restart=0
18:11:26 iter=57 chain_txs=0 served=97 cert_tagged=50 cert_real=50 relay2_crit=0 relay2_restart=0 adv_restart=0
18:12:27 iter=58 chain_txs=0 served=99 cert_tagged=51 cert_real=51 relay2_crit=0 relay2_restart=0 adv_restart=0
18:13:27 iter=59 chain_txs=0 served=99 cert_tagged=51 cert_real=51 relay2_crit=0 relay2_restart=0 adv_restart=0
18:14:27 iter=60 chain_txs=0 served=101 cert_tagged=52 cert_real=52 relay2_crit=0 relay2_restart=0 adv_restart=0
18:15:27 iter=61 chain_txs=0 served=103 cert_tagged=53 cert_real=53 relay2_crit=0 relay2_restart=0 adv_restart=0
18:16:28 iter=62 chain_txs=0 served=105 cert_tagged=54 cert_real=54 relay2_crit=0 relay2_restart=0 adv_restart=0
18:17:28 iter=63 chain_txs=0 served=107 cert_tagged=55 cert_real=55 relay2_crit=0 relay2_restart=0 adv_restart=0
18:18:28 iter=64 chain_txs=0 served=109 cert_tagged=56 cert_real=56 relay2_crit=0 relay2_restart=0 adv_restart=0
18:19:29 iter=65 chain_txs=0 served=109 cert_tagged=56 cert_real=56 relay2_crit=0 relay2_restart=0 adv_restart=0
18:20:29 iter=66 chain_txs=0 served=111 cert_tagged=57 cert_real=57 relay2_crit=0 relay2_restart=0 adv_restart=0
18:21:29 iter=67 chain_txs=0 served=113 cert_tagged=58 cert_real=58 relay2_crit=0 relay2_restart=0 adv_restart=0
18:22:30 iter=68 chain_txs=0 served=115 cert_tagged=59 cert_real=59 relay2_crit=0 relay2_restart=0 adv_restart=0
18:23:30 iter=69 chain_txs=0 served=117 cert_tagged=60 cert_real=60 relay2_crit=0 relay2_restart=0 adv_restart=0
18:24:30 iter=70 chain_txs=0 served=119 cert_tagged=61 cert_real=61 relay2_crit=0 relay2_restart=0 adv_restart=0
18:25:30 iter=71 chain_txs=0 served=119 cert_tagged=61 cert_real=61 relay2_crit=0 relay2_restart=0 adv_restart=0
18:26:31 iter=72 chain_txs=0 served=121 cert_tagged=62 cert_real=62 relay2_crit=0 relay2_restart=0 adv_restart=0
18:27:31 iter=73 chain_txs=0 served=123 cert_tagged=63 cert_real=63 relay2_crit=0 relay2_restart=0 adv_restart=0
18:28:31 iter=74 chain_txs=0 served=125 cert_tagged=64 cert_real=64 relay2_crit=0 relay2_restart=0 adv_restart=0
18:29:32 iter=75 chain_txs=0 served=127 cert_tagged=65 cert_real=65 relay2_crit=0 relay2_restart=0 adv_restart=0
18:30:32 iter=76 chain_txs=0 served=129 cert_tagged=66 cert_real=66 relay2_crit=0 relay2_restart=0 adv_restart=0
18:31:32 iter=77 chain_txs=0 served=129 cert_tagged=66 cert_real=66 relay2_crit=0 relay2_restart=0 adv_restart=0
18:32:33 iter=78 chain_txs=0 served=131 cert_tagged=67 cert_real=67 relay2_crit=0 relay2_restart=0 adv_restart=0
18:33:33 iter=79 chain_txs=0 served=133 cert_tagged=68 cert_real=68 relay2_crit=0 relay2_restart=0 adv_restart=0
18:34:33 iter=80 chain_txs=0 served=135 cert_tagged=69 cert_real=69 relay2_crit=0 relay2_restart=0 adv_restart=0
18:35:33 iter=81 chain_txs=0 served=137 cert_tagged=70 cert_real=70 relay2_crit=0 relay2_restart=0 adv_restart=0
18:36:34 iter=82 chain_txs=0 served=139 cert_tagged=71 cert_real=71 relay2_crit=0 relay2_restart=0 adv_restart=0
18:37:34 iter=83 chain_txs=0 served=139 cert_tagged=71 cert_real=71 relay2_crit=0 relay2_restart=0 adv_restart=0
18:38:34 iter=84 chain_txs=0 served=141 cert_tagged=72 cert_real=72 relay2_crit=0 relay2_restart=0 adv_restart=0
18:39:35 iter=85 chain_txs=0 served=143 cert_tagged=73 cert_real=73 relay2_crit=0 relay2_restart=0 adv_restart=0
18:40:35 iter=86 chain_txs=0 served=145 cert_tagged=74 cert_real=74 relay2_crit=0 relay2_restart=0 adv_restart=0
18:41:35 iter=87 chain_txs=0 served=147 cert_tagged=75 cert_real=75 relay2_crit=0 relay2_restart=0 adv_restart=0
18:42:36 iter=88 chain_txs=0 served=149 cert_tagged=76 cert_real=76 relay2_crit=0 relay2_restart=0 adv_restart=0
18:43:36 iter=89 chain_txs=0 served=149 cert_tagged=76 cert_real=76 relay2_crit=0 relay2_restart=0 adv_restart=0
18:44:36 iter=90 chain_txs=0 served=151 cert_tagged=77 cert_real=77 relay2_crit=0 relay2_restart=0 adv_restart=0
18:45:36 iter=91 chain_txs=0 served=153 cert_tagged=78 cert_real=78 relay2_crit=0 relay2_restart=0 adv_restart=0
18:46:37 iter=92 chain_txs=0 served=155 cert_tagged=79 cert_real=79 relay2_crit=0 relay2_restart=0 adv_restart=0
18:47:37 iter=93 chain_txs=0 served=157 cert_tagged=80 cert_real=80 relay2_crit=0 relay2_restart=0 adv_restart=0
18:48:37 iter=94 chain_txs=0 served=159 cert_tagged=81 cert_real=81 relay2_crit=0 relay2_restart=0 adv_restart=0
18:49:38 iter=95 chain_txs=0 served=159 cert_tagged=81 cert_real=81 relay2_crit=0 relay2_restart=0 adv_restart=0
18:50:38 iter=96 chain_txs=0 served=161 cert_tagged=82 cert_real=82 relay2_crit=0 relay2_restart=0 adv_restart=0
18:51:38 iter=97 chain_txs=0 served=163 cert_tagged=83 cert_real=83 relay2_crit=0 relay2_restart=0 adv_restart=0
18:52:39 iter=98 chain_txs=0 served=165 cert_tagged=84 cert_real=84 relay2_crit=0 relay2_restart=0 adv_restart=0
18:53:39 iter=99 chain_txs=0 served=167 cert_tagged=85 cert_real=85 relay2_crit=0 relay2_restart=0 adv_restart=0
18:54:39 iter=100 chain_txs=0 served=169 cert_tagged=86 cert_real=86 relay2_crit=0 relay2_restart=0 adv_restart=0
18:55:39 iter=101 chain_txs=0 served=171 cert_tagged=87 cert_real=87 relay2_crit=0 relay2_restart=0 adv_restart=0
18:56:40 iter=102 chain_txs=0 served=171 cert_tagged=87 cert_real=87 relay2_crit=0 relay2_restart=0 adv_restart=0
18:57:40 iter=103 chain_txs=0 served=173 cert_tagged=88 cert_real=88 relay2_crit=0 relay2_restart=0 adv_restart=0
18:58:40 iter=104 chain_txs=0 served=175 cert_tagged=89 cert_real=89 relay2_crit=0 relay2_restart=0 adv_restart=0
18:59:41 iter=105 chain_txs=0 served=177 cert_tagged=90 cert_real=90 relay2_crit=0 relay2_restart=0 adv_restart=0
19:00:41 iter=106 chain_txs=0 served=179 cert_tagged=91 cert_real=91 relay2_crit=0 relay2_restart=0 adv_restart=0
19:01:41 iter=107 chain_txs=0 served=181 cert_tagged=92 cert_real=92 relay2_crit=0 relay2_restart=0 adv_restart=0
19:02:42 iter=108 chain_txs=0 served=181 cert_tagged=92 cert_real=92 relay2_crit=0 relay2_restart=0 adv_restart=0
19:03:42 iter=109 chain_txs=0 served=183 cert_tagged=93 cert_real=93 relay2_crit=0 relay2_restart=0 adv_restart=0
19:04:42 iter=110 chain_txs=0 served=185 cert_tagged=94 cert_real=94 relay2_crit=0 relay2_restart=0 adv_restart=0
19:05:42 iter=111 chain_txs=0 served=187 cert_tagged=95 cert_real=95 relay2_crit=0 relay2_restart=0 adv_restart=0
19:06:43 iter=112 chain_txs=0 served=189 cert_tagged=96 cert_real=96 relay2_crit=0 relay2_restart=0 adv_restart=0
19:07:43 iter=113 chain_txs=0 served=191 cert_tagged=97 cert_real=97 relay2_crit=0 relay2_restart=0 adv_restart=0
19:08:43 iter=114 chain_txs=0 served=191 cert_tagged=97 cert_real=97 relay2_crit=0 relay2_restart=0 adv_restart=0
19:09:44 iter=115 chain_txs=0 served=193 cert_tagged=98 cert_real=98 relay2_crit=0 relay2_restart=0 adv_restart=0
19:10:44 iter=116 chain_txs=0 served=195 cert_tagged=99 cert_real=99 relay2_crit=0 relay2_restart=0 adv_restart=0
19:11:44 iter=117 chain_txs=0 served=197 cert_tagged=100 cert_real=100 relay2_crit=0 relay2_restart=0 adv_restart=0
19:12:45 iter=118 chain_txs=0 served=199 cert_tagged=101 cert_real=101 relay2_crit=0 relay2_restart=0 adv_restart=0
19:13:45 iter=119 chain_txs=0 served=201 cert_tagged=102 cert_real=102 relay2_crit=0 relay2_restart=0 adv_restart=0
19:14:45 iter=120 chain_txs=0 served=201 cert_tagged=102 cert_real=102 relay2_crit=0 relay2_restart=0 adv_restart=0
19:15:45 iter=121 chain_txs=0 served=203 cert_tagged=103 cert_real=103 relay2_crit=0 relay2_restart=0 adv_restart=0
19:16:46 iter=122 chain_txs=0 served=205 cert_tagged=104 cert_real=104 relay2_crit=0 relay2_restart=0 adv_restart=0
19:17:46 iter=123 chain_txs=0 served=207 cert_tagged=105 cert_real=105 relay2_crit=0 relay2_restart=0 adv_restart=0
19:18:46 iter=124 chain_txs=0 served=209 cert_tagged=106 cert_real=106 relay2_crit=0 relay2_restart=0 adv_restart=0
19:19:47 iter=125 chain_txs=0 served=211 cert_tagged=107 cert_real=107 relay2_crit=0 relay2_restart=0 adv_restart=0
19:20:47 iter=126 chain_txs=0 served=211 cert_tagged=107 cert_real=107 relay2_crit=0 relay2_restart=0 adv_restart=0
19:21:47 iter=127 chain_txs=0 served=213 cert_tagged=108 cert_real=108 relay2_crit=0 relay2_restart=0 adv_restart=0
19:22:48 iter=128 chain_txs=0 served=215 cert_tagged=109 cert_real=109 relay2_crit=0 relay2_restart=0 adv_restart=0
19:23:48 iter=129 chain_txs=0 served=217 cert_tagged=110 cert_real=110 relay2_crit=0 relay2_restart=0 adv_restart=0
19:24:48 iter=130 chain_txs=0 served=219 cert_tagged=111 cert_real=111 relay2_crit=0 relay2_restart=0 adv_restart=0
