witness soak start 2026-06-17T03:42:31Z dur=28800s img=0.17.0 shape=witness
03:42:53 iter=1 wit=403 mempoolReject=403 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:43:54 iter=2 wit=404 mempoolReject=404 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:45:46 iter=3 wit=414 mempoolReject=414 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:46:53 iter=4 wit=425 mempoolReject=425 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:48:37 iter=5 wit=435 mempoolReject=435 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:50:17 iter=6 wit=446 mempoolReject=446 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:51:12 iter=7 wit=446 mempoolReject=446 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:52:10 iter=8 wit=457 mempoolReject=457 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:53:36 iter=9 wit=467 mempoolReject=467 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:54:46 iter=10 wit=468 mempoolReject=468 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:56:02 iter=11 wit=478 mempoolReject=478 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:57:48 iter=12 wit=489 mempoolReject=489 mempoolAdd=0 relay2_crit=0 relay2_restart=0
03:59:20 iter=13 wit=500 mempoolReject=500 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:00:42 iter=14 wit=511 mempoolReject=511 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:01:52 iter=15 wit=512 mempoolReject=512 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:02:56 iter=16 wit=523 mempoolReject=523 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:04:25 iter=17 wit=535 mempoolReject=535 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:05:32 iter=18 wit=536 mempoolReject=536 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:07:12 iter=19 wit=546 mempoolReject=546 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:08:29 iter=20 wit=557 mempoolReject=557 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:09:33 iter=21 wit=557 mempoolReject=557 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:11:19 iter=22 wit=567 mempoolReject=567 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:12:39 iter=23 wit=577 mempoolReject=577 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:13:43 iter=24 wit=588 mempoolReject=588 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:15:05 iter=25 wit=589 mempoolReject=589 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:16:37 iter=26 wit=599 mempoolReject=599 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:18:08 iter=27 wit=609 mempoolReject=609 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:20:19 iter=28 wit=620 mempoolReject=620 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:21:23 iter=29 wit=630 mempoolReject=630 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:22:58 iter=30 wit=641 mempoolReject=641 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:24:47 iter=31 wit=653 mempoolReject=653 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:25:40 iter=32 wit=653 mempoolReject=653 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:27:11 iter=33 wit=663 mempoolReject=663 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:29:01 iter=34 wit=673 mempoolReject=673 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:31:36 iter=35 wit=694 mempoolReject=694 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:33:01 iter=36 wit=695 mempoolReject=695 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:34:06 iter=37 wit=705 mempoolReject=705 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:35:28 iter=38 wit=715 mempoolReject=715 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:36:50 iter=39 wit=717 mempoolReject=717 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:37:52 iter=40 wit=727 mempoolReject=727 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:39:14 iter=41 wit=738 mempoolReject=738 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:40:55 iter=42 wit=749 mempoolReject=749 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:41:56 iter=43 wit=750 mempoolReject=750 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:43:13 iter=44 wit=760 mempoolReject=760 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:44:35 iter=45 wit=772 mempoolReject=772 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:46:07 iter=46 wit=772 mempoolReject=772 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:48:12 iter=47 wit=793 mempoolReject=793 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:49:37 iter=48 wit=794 mempoolReject=794 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:50:57 iter=49 wit=804 mempoolReject=804 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:52:55 iter=50 wit=814 mempoolReject=814 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:54:54 iter=51 wit=824 mempoolReject=824 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:56:59 iter=52 wit=834 mempoolReject=834 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:58:10 iter=53 wit=844 mempoolReject=844 mempoolAdd=0 relay2_crit=0 relay2_restart=0
04:59:11 iter=54 wit=855 mempoolReject=855 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:01:52 iter=55 wit=866 mempoolReject=866 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:03:09 iter=56 wit=877 mempoolReject=877 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:04:58 iter=57 wit=887 mempoolReject=887 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:05:51 iter=58 wit=887 mempoolReject=887 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:07:41 iter=59 wit=897 mempoolReject=897 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:09:24 iter=60 wit=907 mempoolReject=907 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:11:05 iter=61 wit=917 mempoolReject=917 mempoolAdd=0 relay2_crit=0 relay2_restart=0
05:12:52 iter=62 wit=928 mempoolReject=928 mempoolAdd=0 relay2_crit=0 relay2_restart=0
